source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,8.57,96.32,30.42,11.58,0.01,0.4,0,1289.99
ofi,87.2,0.45,0,24.17,0,2.56,45.16,778.22
nfc,54.62,6.99,2.11,25.14,0.01,0.02,1,164.22
mfi,53.12,0.22,9.54,71.33,0.6,55.55,93.42,480.51
icpf,8.97,13.42,1.42,20.65,0,1.86,0,252.89
govt,3.58,0,15.24,2.81,0,5.38,2.58,6.44
hh,1.16,0.25,0.28,0.03,0.02,0.33,0,14.87
row,988.05,1401.28,408.83,712.08,3.58,143.73,0,0
