Node,Sector,time,Assets,Liabilities
iv,Non-banks,2017-Q4,0.68,0.98
nfc,Real economy,2017-Q4,41.89,78.43
mfi,Banks,2017-Q4,47.45,47.2
ofi,Non-banks,2017-Q4,6.2,5.51
icpf,Non-banks,2017-Q4,4.89,4.93
hh,Real economy,2017-Q4,39.57,11.05
govt,Real economy,2017-Q4,16.59,24.02
row,row,2017-Q4,5000,5000
