source,_iv,_mfi,_hh,_row
iv,145.12,61.11,0,68.69
ofi,14.46,3.64,0,6.61
nfc,44.12,77.03,0,17.48
mfi,46.96,50.1,0,9.09
icpf,410.09,79.97,0,69.72
govt,81.27,16.66,0,6.45
hh,252.65,10.81,0,68.11
row,149.51,39.16,0,0
