source,_iv,_mfi,_hh,_row
iv,127.62,56.84,0,68.88
ofi,7.95,2.69,0,3.98
nfc,41.34,84.3,0,17.74
mfi,48.45,40.09,0,12.04
icpf,377.72,64.94,0,72.08
govt,73.4,16.07,0,6.52
hh,278.47,15.73,0,44.65
row,144.13,32.37,0,0
