source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.05,0.01,0.33,0.14,0,0,0,116.45
ofi,0,0,0.21,0.36,0,0,0,6.22
nfc,0,0,0,0,0,0,0,0.38
mfi,0,0,1.83,0.95,0,0,0,171.83
icpf,0,0,0.07,0.06,0,0,0,0.98
govt,0,0,0.01,0,0,0,0,0.53
hh,0,0,0.45,0,0,0,0,0.02
row,0.01,6.18,17.6,31.13,0,0,0,0
