source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,9.24,15.43,1.24,0.64,0.03,0.22,0,64.67
ofi,9.7,1.87,0.37,0.28,0.22,0.39,2.31,16.18
nfc,76.75,5.39,0.71,0.88,0,2.56,0,39.23
mfi,62.02,2.1,5.55,3.82,0.08,30.09,137.67,116.27
icpf,5.54,25.3,2.81,0.52,0.18,1.85,0,29.99
govt,49.56,10.95,3.06,7.62,0.04,2.35,0.27,128.11
hh,29.98,22.75,3.32,3.32,0.01,0.05,0.04,9.88
row,169.88,18.77,81.63,26.64,0.15,112.36,0,0
