source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0.01,0,0,0.24,0,0.93
ofi,0,0,0.16,0.48,0,0.44,0,17.92
nfc,0,0,10.49,0,0,0,0,0.26
mfi,0.05,0,0.76,0,0,2.29,0,12.59
icpf,0.1,0,0.31,0.15,0,0.99,0,5.36
govt,0,0,0.59,0,0,0,0,0
hh,0,0,0.02,0,0,0,0,0.05
row,4.87,0.41,61.83,21.77,0,19.13,0,0
