source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,5.26,13.07,0,6.15,0,0,0,10.98
ofi,72.99,0.45,0,553.53,0,0.47,0.01,1487.57
nfc,34.79,0.37,0,51.25,0.02,0,0,45.17
mfi,18.08,0.45,0,12.09,0.09,3.31,29.53,79.55
icpf,0.08,0,0,0.01,0.03,0,0,7.75
govt,0.08,0,0,0,0,0.14,0.07,0.93
hh,0,0,0,0,0,0,0.45,0.3
row,32.26,0,0.03,1320.37,0.33,0.25,0,0
