source,_iv,_mfi,_hh,_row
iv,102.46,28.66,0,119.78
ofi,0,0,0,0
nfc,10.54,4.14,0,0
mfi,0,1.32,0,0.93
icpf,14.65,0.67,0,120
govt,0,0,0,4.87
hh,0.66,0,0,1.27
row,1620.83,444.62,0,0
