source,_iv,_mfi,_hh,_row
iv,57.3,11.28,0,53.21
ofi,0,0,0,0
nfc,1.85,2.64,0,0
mfi,0,0.23,0,0.21
icpf,9.77,0.44,0,71.75
govt,0,0,0,2.24
hh,0.17,0,0,0.3
row,993.86,261.97,0,0
