source,_iv,_mfi,_hh,_row
iv,111.61,22.33,0,123.84
ofi,0,0,0,6.63
nfc,10.56,4.32,0,0
mfi,0,1.2,0,0.8
icpf,14.11,0.63,0,127.31
govt,0.94,0,0,3.83
hh,0.63,0,0,1.39
row,1749.71,453.99,0,0
