source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0,0,0
ofi,16.91,0,0,0,0,0,94.93,91.77
nfc,591.56,0,0,4.63,0,30.22,0.1,0.21
mfi,727.67,3.51,0,84.39,5.9,213.12,1099.2,158.01
icpf,4.46,0,0,0,8.91,0.05,4.46,-8.86
govt,34.04,0,0,0,0,11.49,2.19,61.11
hh,7.82,0,0,0,21.92,0.28,0.01,0.19
row,31.07,0,124.27,0,1.14,38.78,0,0
