source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.01,0,0,0,0,0,0,0
ofi,1.07,0,0,0.07,0,0.03,0.25,0.12
nfc,1.13,0,0,0.29,0,0.52,0.07,0.54
mfi,4.96,0,0,0.54,0,0.16,5.42,1.23
icpf,0.01,0,0,0,0,0,0,0
govt,0.28,0,0,0.04,0,0.82,0.08,0.4
hh,1.17,0,0,0.11,0,0,0,0
row,4.95,0,2.26,1.04,0,3.25,0,0
