source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.1,0.07,0.14,0.08,0.01,0.37,0,2.75
ofi,0.47,0.09,0,0.01,0,0.01,0.04,24.07
nfc,7.83,0.1,0.05,0.02,0.04,0.05,0.14,0.52
mfi,3.43,0.31,0.03,0.85,0.05,3.18,5.43,31.17
icpf,0.09,0.07,0.05,0.01,0,0.48,0.01,5.61
govt,0.17,0,0.27,0,0,0.15,0,0.22
hh,1.7,1,1.02,0.94,0.01,1.57,0,0.54
row,2.88,3.07,0.35,0.45,0.12,0.79,0,0
