source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0,0
ofi,0.29,0,0,0,0,0.18,0.01
nfc,1.16,0,0.02,0,0,0.02,0.44
mfi,1.4,0,0.13,0,0.01,0.43,0.6
icpf,0,0,0,0,0,0,0
govt,0.08,0,0,0,0,0.03,0.02
hh,0.51,0,0.01,0,0,0,0
row,0.67,0,0.33,0,0,0,0
