source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0,0
ofi,0.28,0,0,0,0,0.14,0.06
nfc,0.95,0,0.02,0,0,0.02,0.5
mfi,1.44,0,0.14,0,0.01,0.47,0.6
icpf,0,0,0,0,0,0,0
govt,0.07,0,0,0,0,0.03,0.04
hh,0.66,0,0.01,0,0,0,0
row,0.81,0,0.1,0,0,0,0
