source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0,0
ofi,0.3,0,0,0,0,0.14,0.03
nfc,1.1,0,0.01,0,0,0.02,0.5
mfi,1.36,0,0.14,0,0.01,0.45,0.49
icpf,0,0,0,0,0,0,0
govt,0.06,0,0,0,0,0.03,0.04
hh,0.8,0,0.01,0,0,0,0
row,0.59,0,0.36,0,0,0,0
