source,_nfc,_iv,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0,0
ofi,0.3,0,0,0,0,0.13,0.02
nfc,0.96,0,0.06,0,0,0.03,0.44
mfi,1.53,0,0.2,0,0,0.48,0.69
icpf,0,0,0,0,0,0,0
govt,0.08,0,0,0,0,0.04,0.04
hh,0.76,0,0.01,0,0,0,0
row,0.77,0,0.32,0,0,0,0
