source,_iv,_mfi,_hh,_row
iv,0.3,0,0,3.14
ofi,0.9,0,0,0.45
nfc,1.59,0.05,0,0.77
mfi,6.72,0,0,1.61
icpf,2.43,0.01,0,9.75
govt,1.19,0,0,1.87
hh,11.38,0.34,0,5.87
row,1.89,0.03,0,0
