source,_iv,_mfi,_hh,_row
iv,0.32,0.12,0,1.68
ofi,0.31,0.01,0,0.27
nfc,2.32,0.25,0,0.54
mfi,8.22,0,0,1.77
icpf,4.1,0.01,0,5.6
govt,1.07,0,0,1.22
hh,9.99,1.76,0,2.82
row,0.82,0.15,0,0
