source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,38.52,0,23.65,5.7,0.91,34.86,0,245.29
ofi,2.34,0,4.32,0.34,0,0.43,0,29.62
nfc,2.66,0,11.34,0.55,0,2.55,0,25.2
mfi,31.22,0,162.79,131.97,3.15,392.39,0,461.78
icpf,157.39,0,195.82,20.63,3.56,417.1,0,751.87
govt,7.48,0,9.86,0.04,0.42,13.29,0,42.54
hh,1.13,0,35.02,1.4,0,0.04,0,19.17
row,362.05,0,563,61.38,8.89,1187.46,0,0
