source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.14,0,0.08,0.03,0,0.83,0,23.29
ofi,0.15,0,0.09,0.05,0.43,0.96,0,22.37
nfc,1.98,0,1.13,0.15,0,2.17,0,18.04
mfi,0.55,0,0.64,76.66,0.06,71.49,0,102.48
icpf,3.07,0,0.43,0.96,0.01,77.66,0,113.27
govt,0.65,0,0.81,0,0,21.5,0,0.02
hh,5.13,0,29.72,2.23,0.01,6.78,0,43.32
row,24.47,0,17.77,18.24,2.04,189.59,0,0
