source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.64,0,0,0.19,0,0.17,0,0.35
ofi,0.14,0,0,0,0,0,0,0.42
nfc,0.25,0,0,0,0,0,0,0.48
mfi,6.82,0,0.11,1.64,0,6.41,0,2.07
icpf,1.38,0,0.18,0.02,0,0.1,0,0.51
govt,0,0,0,0.01,0,1.69,0,0.73
hh,0.18,0,0.04,0.02,0,0,0,0.96
row,4.88,0,0.32,3.98,0,0.75,0,0
