source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0.14,0,0,0,0.02
ofi,0.05,0,0,0.69,0,0,0,9.88
nfc,0.1,0,0,0.05,0,0,0,0
mfi,5.54,0,0,0.87,0.01,0.02,2.08,2.74
icpf,0,0,0,0,0,0,0,0
govt,0,0,0,0,0,0,0,0
hh,0,0,0,0,0,0,0,0
row,0.03,0,0,12.1,0,0,0,0
