source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0.2,0,0.08
ofi,0,0,0,0,0,0,0,0.51
nfc,0,0,0,0,0,0.35,0,0
mfi,0,0,0,0,0,7.46,0,5.16
icpf,0,0,0,0,0,0.71,0,0.08
govt,0,0,0,0,0,3.69,0,0
hh,0,0,0,0,0,0.1,0,0.02
row,-0.1,-0.1,0,0,0,2.29,0,0
