source,_iv,_mfi,_hh,_row
iv,143.25,0.24,0,91
ofi,11.2,0.04,0,1.8
nfc,117.31,0.47,0,20.31
mfi,129.19,0.19,0,19.39
icpf,628.31,0.27,0,46.35
govt,13.76,0.02,0,0.48
hh,236.3,1.88,0,211.34
row,137.47,1.41,0,0
