source,_iv,_mfi,_hh,_row
iv,217.21,0.28,0,160.13
ofi,19.37,0.01,0,2.13
nfc,134.31,0.23,0,25.38
mfi,154.12,0.02,0,15.85
icpf,896.11,0.42,0,70.92
govt,22.46,0.01,0,1.61
hh,314.09,1.12,0,267.02
row,147.56,0.55,0,0
