source,_iv,_mfi,_hh,_row
iv,0.01,0,0,0.52
ofi,0.05,0,0,0.02
nfc,0.04,0,0,0.64
mfi,0.71,0.02,0,0.07
icpf,0.82,0.11,0,1.78
govt,0.44,0.03,0,0
hh,1.68,0.33,0,9.68
row,1.47,0,0,0
