source,_iv,_mfi,_hh,_row
iv,0.03,0,0,0.38
ofi,0.05,0,0,0.09
nfc,0.09,0.01,0,0.19
mfi,0.75,0,0,0.19
icpf,1.04,0.09,0,1.36
govt,0.52,0.03,0,0
hh,2.21,0.63,0,3.33
row,1.45,0.01,0,0
