source,_iv,_mfi,_hh,_row
iv,0.03,0.01,0,0.31
ofi,0,0.02,0,0.09
nfc,0.1,0.01,0,0.19
mfi,1.29,0.01,0,1.47
icpf,1,0.09,0,1.17
govt,0.49,0.03,0,0
hh,2.22,0.54,0,3.15
row,0.21,0.01,0,0
