source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,1.32,0,0,0.03,0,0,0,0.14
ofi,4.38,0,0,0,0,0.23,0.14,3.34
nfc,56.74,0,0,0.4,0,2.59,0,29.88
mfi,47.6,0.95,0,1.98,0,12.09,123.74,8.08
icpf,1.49,0,0,0.04,0.07,0.02,0.01,0.04
govt,23.14,0,0,2.28,0,1.03,0.33,4.91
hh,0,0,0,0,0,0,0.03,0
row,50.64,0.32,0.13,4.63,0.11,6.81,0,0
