source,_iv,_mfi,_hh,_row
iv,7.73,0.34,0,57.59
ofi,0,0,0,0
nfc,30.28,0.87,0,12.65
mfi,0.76,0.01,0,0
icpf,11.38,0.42,0,32.62
govt,0.15,0,0,0
hh,209.38,8.01,0,60.82
row,3.65,0.06,0,0
