source,_iv,_mfi,_hh,_row
iv,7.08,0.38,0,55.78
ofi,0,0,0,0
nfc,30.01,0.78,0,12.05
mfi,0.83,0.01,0,0
icpf,10.86,0.4,0,29.94
govt,0.18,0,0,0
hh,202.65,7.6,0,58.66
row,3.56,0.05,0,0
