source,_iv,_mfi,_hh,_row
iv,8.35,0.26,0,68.79
ofi,0,0,0,0
nfc,32.08,1.18,0,16.15
mfi,0.92,0.03,0,0
icpf,11.65,0.37,0,34.55
govt,0.15,0,0,0
hh,222.92,6.63,0,72.44
row,4.05,0.06,0,0
