source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0.31,0,0.54,6.11,0,0.41,0,572.56
ofi,0.02,0,0,23.08,0,1.47,0,107
nfc,0,0,0,0,0,0.01,0,0.08
mfi,0.3,0,6.81,36.52,0.49,55.58,0,132.59
icpf,1.36,0,0,12.23,0,1.81,0,80.08
govt,0.06,0,1.95,0,0,0,0,0.61
hh,0.08,0,0.11,0.12,0.01,0.38,0,0.47
row,10.86,0,27.2,385.8,-0.3,89.07,0,0
