source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,0,0,0,0,0,0,0,0
ofi,98.03,0,0,3.52,0.02,5.47,62.7,5.95
nfc,12.33,0,0,0,0,0,0,12.35
mfi,510.07,0,0,77.17,3.79,113.87,563.34,99.17
icpf,0,0,0,0,0,0,0.66,7.79
govt,39.8,0,0,0.01,0.96,44.96,8.43,49.98
hh,0,0,0,0,0,0,0,0
row,88.09,0,56.72,31.45,6.21,46.76,0,0
