source,_nfc,_iv,_mfi,_ofi,_icpf,_govt,_hh,_row
iv,76.59,0,3.64,1.43,8.78,0,0,205.77
ofi,4.89,0,8.25,0.95,4.48,0,0,1.31
nfc,260.5,0,2.07,1.43,2.03,0,0,54.35
mfi,39.84,0,22.39,0.27,1.88,0,0,27.83
icpf,4.32,0,0.27,5.67,1.36,0,0,8.35
govt,35.57,0,2.28,0.03,0.09,0,0,1.07
hh,151.22,0,11.68,2.45,13.45,0,0,63.61
row,693.01,0,14.83,8.84,61.23,0,0,0
